# 人社意图本体库
## 一、意图分类规则
### （一）分类逻辑
以人社核心业务场景为一级分类，按用户身份（应届生/在职/失业/退休等）、业务类型（查询/办理/咨询/投诉等）为二级维度，通过关键词匹配（如“社保缴费”“失业补贴”“劳动仲裁”）界定意图归属，确保分类精准且覆盖全场景。

### （二）一级分类及核心关键词
| 一级分类       | 核心关键词                                                                 |
|----------------|--------------------------------------------------------------------------|
| 就业服务       | 求职、招聘、职业培训、就业指导、实习、应届生就业、灵活就业、失业再就业       |
| 社会保障（社保）| 社保参保、缴费、转移、查询、补缴、停保、续保、社保基数、社保待遇             |
| 社会保障（医保）| 医保报销、异地就医、医保缴费、医保查询、定点医院、药品目录、门诊慢特病       |
| 住房公积金     | 公积金提取、缴存、转移、查询、贷款、还款、公积金基数                         |
| 劳动关系       | 劳动合同、工资、加班、辞退、离职、劳动仲裁、工伤认定、经济补偿               |
| 补贴福利       | 应届生补贴、创业补贴、失业补贴、租房补贴、育儿补贴、高温补贴、残疾人补贴     |
| 退休养老       | 退休办理、养老金、退休资格认证、延迟退休、养老待遇、视同缴费年限             |
| 人才服务       | 人才引进、落户、职称评定、人才补贴、学历认证、技能证书、职业资格               |
| 人事档案       | 档案查询、档案转移、档案托管、档案补办、档案政审、学籍档案、工作档案           |
| 公共服务       | 社保卡办理、挂失、补办、信息变更、电子社保卡、人社政策咨询、投诉举报         |

## 二、典型用户意图（208条）
### （一）就业服务（25条）
1. 计算机应届生找低压力技术岗
2. 应届生找互联网行业实习岗位
3. 35岁失业人员找制造业普工岗位
4. 灵活就业人员寻找兼职工作
5. 农民工找建筑行业全职岗位
6. 企业招聘行政专员（北京地区）
7. 企业招聘软件工程师（应届生可投）
8. 想参加免费职业技能培训（电工方向）
9. 咨询退役军人就业创业扶持政策
10. 应届生申请就业指导服务
11. 失业人员申请失业再就业帮扶
12. 咨询残疾人就业岗位对接渠道
13. 想参加创业培训（开网店方向）
14. 咨询高校毕业生基层服务项目（三支一扶）
15. 灵活就业人员办理就业登记
16. 企业办理招聘备案手续
17. 咨询就业见习补贴申请条件
18. 农村劳动力转移就业咨询
19. 想找远程办公的设计岗位
20. 咨询就业困难人员认定标准
21. 应届生查询校园招聘信息
22. 咨询职业技能鉴定报名流程
23. 失业人员参加创业孵化基地申请
24. 咨询灵活就业社保补贴政策
25. 企业申请稳岗返还政策

### （二）社会保障（社保）（25条）
1. 查询社保缴费记录（近3年）
2. 灵活就业人员办理社保参保登记
3. 社保断缴后如何补缴
4. 异地社保转移办理流程（北京→上海）
5. 咨询社保缴费基数调整时间
6. 企业办理员工社保增员手续
7. 离职后社保如何续保
8. 查询社保个人账户余额
9. 社保停保办理流程
10. 咨询社保待遇领取条件
11. 社保缴费年限查询（累计缴费时长）
12. 跨省社保转移后缴费年限是否累计
13. 补缴社保需要哪些材料
14. 咨询社保断缴对医保的影响
15. 企业社保缴费基数申报流程
16. 灵活就业人员社保缴费标准（2024年）
17. 社保信息变更（姓名/身份证号）
18. 咨询社保跨省转移到账时间
19. 退休前社保未缴满15年怎么办
20. 查询社保待遇发放明细
21. 社保代缴是否合法
22. 咨询社保与商业保险的区别
23. 企业办理社保减员手续（员工离职）
24. 灵活就业人员社保参保范围（养老/医疗）
25. 咨询社保断缴对养老金的影响

### （三）社会保障（医保）（25条）
1. 医保门诊费用如何报销
2. 申请异地就医备案（长期驻外）
3. 查询医保个人账户余额
4. 医保住院费用报销比例（2024年）
5. 医保断缴后能否报销
6. 咨询医保定点医院变更流程
7. 门诊慢特病（糖尿病）认定申请
8. 医保报销需要哪些材料
9. 查询医保药品目录（某药品是否报销）
10. 异地就医报销到账时间
11. 灵活就业人员医保缴费标准
12. 企业办理员工医保增员手续
13. 医保补缴后多久可以享受待遇
14. 咨询医保电子凭证使用方法
15. 儿童医保参保登记流程（新生儿）
16. 医保报销额度上限（年度）
17. 异地急诊费用如何报销
18. 查询医保缴费记录
19. 医保挂失与补办流程
20. 咨询医保个人账户使用范围
21. 慢性病（高血压）医保报销比例
22. 医保转移办理流程（省内）
23. 咨询医保待遇享受条件
24. 企业医保缴费基数申报流程
25. 医保报销失败原因查询

### （四）住房公积金（20条）
1. 公积金提取（购房）需要哪些材料
2. 查询公积金缴存明细（近1年）
3. 公积金贷款申请条件（北京地区）
4. 灵活就业人员公积金缴存流程
5. 公积金转移办理（离职后）
6. 公积金贷款额度计算（2024年）
7. 公积金提取（租房）流程
8. 公积金缴存基数调整时间
9. 公积金还款方式变更（等额本息→等额本金）
10. 查询公积金贷款还款明细
11. 公积金提取（装修）申请条件
12. 企业办理公积金增员手续
13. 公积金断缴对贷款的影响
14. 公积金提取（离职返乡）流程
15. 咨询公积金贷款还款年限
16. 公积金信息变更（手机号/银行卡）
17. 公积金提取额度上限（租房）
18. 企业公积金缴存比例调整申请
